season	start	end	tournament	location	position	name	score	round1	round2	round3	round4	total	earnings	fedex_points
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	1	Garrett Willis	-15	71	69	64	69	273	540000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	2	Kevin Sutherland	-14	67	72	67	68	274	324000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T3	Bob Tway	-13	73	69	67	66	275	174000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T3	Geoff Ogilvy	-13	67	72	68	68	275	174000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T5	K.J. Choi	-12	70	70	70	66	276	105375	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T5	Cliff Kresge	-12	72	67	71	66	276	105375	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T5	Greg Kraft	-12	74	65	69	68	276	105375	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T5	Mark Wiebe	-12	69	67	66	74	276	105375	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Rich Beem	-11	70	69	71	67	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Jeff Maggert	-11	70	68	70	69	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Steve Flesch	-11	72	69	66	70	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Harrison Frazar	-11	68	73	66	70	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Bernhard Langer	-11	68	69	70	70	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T9	Mark Hensby	-11	69	68	69	71	277	72000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T15	Mark Calcavecchia	-10	71	71	67	69	278	48000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T15	Jerry Kelly	-10	70	69	70	69	278	48000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T15	Brandt Jobe	-10	72	69	66	71	278	48000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T15	Hunter Haas	-10	71	68	68	71	278	48000	
2001	2001-01-11	2001-01-14	Touchstone Energy Tucson Open	Omni Tucson National Golf Resort and Spa - Tucson, AZ	T15	Glen Hnatiuk	-10	71	69	66	72	278	48000	
